"";"cluster";"x";"y";"entity";"entity_type";"size";"color";"display"
"241";18;6,3366327;-67,73591;"air_intake_orifice";"ngram";1;"#BB9A34";"AIR INTAKE ORIFICE"
"242";0;-24,1855;-70,27774;"air_intake_section";"ngram";1;"#D01702";"AIR INTAKE SECTION"
"243";33;-30,860342;-58,41276;"air_intake_structure";"ngram";1;"#BA2B7F";"AIR INTAKE STRUCTURE"
"244";0;-13,933855;-69,740074;"air_mass_flow";"ngram";1;"#D01702";"AIR MASS FLOW"
"245";18;8,228188;-62,848896;"air_mixer";"ngram";1;"#BB9A34";"AIR MIXER"
"246";28;-60,806404;-55,50781;"air_oil_cooler";"ngram";1;"#BB3739";"AIR OIL COOLER"
"247";0;-4,7528577;-78,60056;"air_oil_separator";"ngram";1;"#D01702";"AIR OIL SEPARATOR"
"248";18;2,4348254;-66,21446;"air_outlet_end";"ngram";1;"#BB9A34";"AIR OUTLET END"
"249";18;5,7113132;-59,532623;"air_outlet_valve";"ngram";1;"#BB9A34";"AIR OUTLET VALVE"
"250";37;15,393635;-54,17759;"air_parameter";"ngram";1;"#BA3F2C";"AIR PARAMETER"
"251";18;3,6159592;-63,880875;"air_path";"ngram";1;"#BB9A34";"AIR PATH"
"252";0;-9,330021;-83,71261;"air_scoop";"ngram";1;"#D01702";"AIR SCOOP"
